Filename,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Test AUC
ResNet50.py,0.9311,0.9392,0.9513,0.9452,
efficientnet.py,0.9359,0.963,0.9333,0.9479,
DenseNet.py,0.9311,0.9578,0.9308,0.9441,
U-net2.py,0.9167,0.9519,0.9128,0.9319,
U-net1.py,0.9071,0.8825,0.9821,0.9296,
Inception_V3.py,0.883,0.9676,0.841,0.8999,
experiment1.py,0.9167,0.9102,0.9615,0.9352,
eff실험3.py,0.9135,0.8836,0.9923,0.9348,0.8872
eff실험2.py,0.8173,0.7738,1,0.8725,0.7564
"94,100.py",0.891,0.8946,0.9359,0.9148,
92~94.py,0.9263,0.9322,0.9513,0.9416,
92.py,0.9215,0.9012,0.9821,0.9399,
